"","x.1","x.2","y","train"
"1",-2.59483353006413,-0.81907330688587,NA,0
"2",2.07979207713326,2.08518816091425,1,1
"3",-0.336636198139024,-0.851990671834051,1,1
"4",-0.978042562830908,-0.0933776830609554,1,1
"5",0.241448978766395,1.25971471677978,1,1
"6",-1.65588909148888,-0.316844039303308,1,1
"7",-1.03321225371365,1.53776153230953,NA,0
"8",-0.904187359880996,1.64801830165675,NA,0
"9",1.48933979636279,-0.967342372217758,1,1
"10",0.432991431538796,-1.35759349099761,1,1
"11",0.358096270013372,-0.754863438609693,1,1
"12",2.72774771488048,0.129683617295495,1,1
"13",0.396795661901436,-0.707851957473244,1,1
"14",0.744326098822126,-0.571046232485769,1,1
"15",-0.183764052558201,0.862132728065817,NA,0
"16",-0.206197598210053,0.0634290707313235,1,1
"17",-0.252359245088311,-0.551714179595186,1,1
"18",-0.175887218512999,1.66054931686755,NA,0
"19",-0.0135940971991636,0.242825068052786,1,1
"20",0.309447196503972,-0.0680706087045013,1,1
"21",-0.728034041848882,-1.49863614911835,1,1
"22",-1.72342382191028,-0.973340347196541,1,1
"23",0.280545692543337,0.806584434771717,1,1
"24",0.297344220586495,1.02623119831641,1,1
"25",-1.53838328742356,0.489319270339298,1,1
"26",-0.830222474366385,-0.220641347946967,1,1
"27",0.973622796442149,1.41617450869494,NA,0
"28",0.0954161373970579,-1.73019933348219,1,1
"29",0.919144338170463,1.5772037648769,1,1
"30",-0.182704288219847,-1.21809024963513,1,1
"31",-1.05185914658672,0.932376678016688,NA,0
"32",0.0463425889833229,0.317126768586006,1,1
"33",-0.341251860231627,-0.411330835183245,1,1
"34",0.979259836651535,-0.723371821578671,1,1
"35",1.55201849779848,-1.33414155590104,1,1
"36",-0.300691014094619,-2.13588473881006,1,1
"37",-1.08036474129114,-0.78785059149816,1,1
"38",0.155398576569606,0.0158069878883575,NA,0
"39",-1.16700209385733,-1.2845000606712,1,1
"40",-0.39652358111568,-0.573622344048826,1,1
"41",-0.279021623773858,0.504175810088125,1,1
"42",0.674757910640305,0.906876570769849,1,1
"43",-0.546072920655091,-0.0508892385406918,1,1
"44",0.489176487332578,-2.91114299978133,NA,0
"45",-1.25005612399088,-0.682300992837486,1,1
"46",-0.969630232985239,0.636316761887606,1,1
"47",-0.0915854482597016,-1.154096289267,1,1
"48",-0.38705430339069,0.557240313729897,1,1
"49",0.215089566827844,-0.451185030947033,1,1
"50",0.151019541905693,-1.33040726127326,1,1
"51",0.282157257736755,2.03244873877124,1,1
"52",0.318184408569297,-1.34457195371849,1,1
"53",1.78953134812402,0.141592994753377,1,1
"54",0.526791154599025,0.593769703289507,NA,0
"55",-0.580636241051706,0.107878382537666,1,1
"56",0.0529631254732487,-0.832316113666273,1,1
"57",-1.04713945134108,-1.35481687113017,1,1
"58",0.105691028514626,0.899902870567335,1,1
"59",-1.08407968455535,0.856800135801516,1,1
"60",1.0021216547524,-0.803154048414005,1,1
"61",0.741322552121937,0.374759172030518,1,1
"62",0.675014302649122,0.674867829354521,NA,0
"63",-0.349402069182378,1.07699019523072,1,1
"64",0.410025420801854,-0.448084647057404,1,1
"65",0.960813525486876,-2.35684341850613,NA,0
"66",-0.906855545778822,0.589188380530281,1,1
"67",-1.15562451028363,-1.78709674276931,1,1
"68",-0.645071424329474,0.2599893355178,NA,0
"69",-1.05958453536307,-1.29556267516387,1,1
"70",-1.36999825121785,0.935483894127424,1,1
"71",0.0901781687990655,0.733116821561022,1,1
"72",0.00983897512451156,0.0523530202372059,1,1
"73",0.347629871988673,-1.55325490235378,1,1
"74",-0.671146248266236,-0.450986991867753,1,1
"75",0.506286773352702,-0.782532798351767,NA,0
"76",-0.615341065822307,-0.569297753275433,1,1
"77",0.826302963157456,1.049298357178,1,1
"78",0.929515834333027,0.950506601856125,NA,0
"79",1.73219309931532,-0.598953054208902,NA,0
"80",-0.759193553035142,-0.787276031490439,1,1
"81",-1.67869886314217,0.542367858925327,1,1
"82",-1.17296932856324,1.20167589583266,1,1
"83",3.3616871690947,-0.0639781536546192,1,1
"84",-1.45487850918601,-0.0648454898705052,NA,0
"85",0.510853008214072,-0.839515223383125,1,1
"86",-0.282513554536816,-1.57397698838131,1,1
"87",-0.731852717680853,0.44771430689109,1,1
"88",0.0934651810157258,-1.58717047898419,NA,0
"89",0.696469733097421,-0.15168759316447,1,1
"90",0.466764320509013,0.24466697354539,1,1
"91",-0.335828435337523,-1.27042507018565,NA,0
